Expression,Definition + Context,Example Sentence
====== 202604 Batch — Pain / Gout / Neurology / Pharmacy Letters ======,,
====== PAIN DESCRIPTION & SEVERITY ======,,
Excruciating,Extremely intense pain — the most severe level (8–10 on VAS) — equivalent to kidney stone pain,The patient described the pain as excruciating — he rated it 9 out of 10 and was unable to walk.
Visual Analogue Scale (VAS),A 0–10 numeric scale used to measure a patient's reported pain intensity,The pharmacist used the Visual Analogue Scale to assess his pain before recommending analgesia.
Unbearable pain,Pain so severe the patient cannot tolerate it — typically 8–10 on VAS,She described the pain as unbearable — she had not slept for two nights and could not function.
Severe pain,Significant pain that interferes with daily activities — typically 7–10 on VAS,He presented with severe pain in his right big toe that had started overnight.
Throbbing,A pulsating or rhythmic pain — often associated with inflammation infection or vascular conditions,The gout flare caused a throbbing pain in the joint that was worse at night.
Splitting headache,An extremely intense headache — as if the head is being split apart — severe variant,He described a splitting headache that had come on suddenly during exertion.
Achy muscles / muscle ache,A diffuse low-level muscular pain — common with viral illness or overexertion,She reported achy muscles across her whole body — consistent with a viral illness.
Brutal (informal),Extremely exhausting or severe — emotionally loaded term — used by patients to describe debilitating conditions,The fatigue from her condition was brutal — she described it as completely draining her will to function.
====== GOUT & JOINT CONDITIONS ======,,
Gout,A type of inflammatory arthritis caused by uric acid crystal deposition — typically affects the big toe — excruciating pain,He was diagnosed with gout after presenting with acute excruciating pain in his right big toe.
Big toe,The hallux — most common site of gout — ask specifically about this joint in relevant presentations,The pain was localised to his big toe and had developed overnight — highly suggestive of gout.
Colchicine / diarrhoea,Colchicine is a gout treatment — the most common side effect is diarrhoea — dose-limiting in many patients,He was started on colchicine for the acute gout flare but developed significant diarrhoea after the second dose.
Allopurinol skin rash,Allopurinol (urate-lowering therapy) can cause a serious skin rash — Stevens-Johnson syndrome in rare cases,The patient developed a skin rash three weeks after starting allopurinol — the medication was immediately withheld.
Apart from medications,A standard clinical question opener — asking about non-pharmacological treatment attempts,"Apart from medications, did you try any other sort of treatment — heat therapy, rest, elevation?"
====== GENERAL UNWELLNESS — PATIENT LANGUAGE ======,,
Away with the fairies,British informal — mentally absent or confused due to medication or illness,The sedative made him feel completely away with the fairies — he could not hold a conversation.
Confused / disconnected / lightheaded,General terms for impaired mental clarity — often used together to describe drug-induced cognitive effects,She felt confused and disconnected after starting the new medication — she described it as being lightheaded all day.
To feel sick,British informal for nausea — does not always mean vomiting,She called the pharmacy to say she was feeling very sick after taking the first dose.
The pain didn't get any better — in fact quite the opposite,Patient expression for worsening symptoms despite treatment — signals treatment failure,He reported that the pain had not got any better — in fact quite the opposite — it had doubled overnight.
I was in too much pain to drive,Functional limitation statement — signals severity of pain and impact on daily activity,He had been unable to attend his follow-up appointment — he was in too much pain to drive.
